identifier	mzs	intensities	fold	precursor_mz
MassSpecGymID0132861	95.04192,95.04993,99.96867,107.0377,107.04765,110.05499,110.06383,117.00639,122.05845,122.06321,123.04781,125.03965,138.05048,138.05658,139.06001,141.96056,143.95889,155.07524,166.05136,167.04041,167.05058,167.05782,186.94992,194.05225,210.05954,217.87234	0.043043043043043044,0.04704704704704705,0.03903903903903904,0.03903903903903904,0.03403403403403404,0.09009009009009009,0.23523523523523523,0.036036036036036036,0.13013013013013014,0.03903903903903904,0.05805805805805806,0.03403403403403404,0.1091091091091091,0.4044044044044044,0.12012012012012012,0.03403403403403404,0.03903903903903904,0.05305305305305305,1.0,0.04904904904904905,0.03903903903903904,0.05805805805805806,0.036036036036036036,0.1881881881881882,0.09009009009009009,0.036036036036036036	train	226.0716
MassSpecGymID0193514	85.028282,97.028412,105.033272,109.028206,123.043823,127.038841,133.06456,145.049484,151.075378,165.054626,177.054703,179.070221,197.0811,231.066147,249.076263,267.086761,267.117157,301.107819,319.1185,585.362671	0.01656,0.01818,1.0,0.021869999999999997,0.035840000000000004,0.06483,0.020179999999999997,0.03179,0.12089,0.02331,0.02657,0.0559,0.51075,0.01532,0.21655000000000002,0.22580999999999998,0.017929999999999998,0.12198,0.19657,0.01366	train	585.19665
MassSpecGymID0051983	39.0228,45.0336,50.0156,51.0231,65.0386,66.0455,77.0386,78.0461,79.0547,106.0637	0.05805805805805806,0.27427427427427425,0.18618618618618618,0.7737737737737738,0.13713713713713713,0.03903903903903904,1.0,0.05805805805805806,0.06806806806806807,0.03903903903903904	train	166.0863
MassSpecGymID0160384	55.017921,71.012825,71.049088,83.012703,85.028381,91.054222,99.044037,105.069901,109.064728,111.044113,113.023392,115.039078,115.05426,117.054787,117.069954,121.064949,129.069962,131.034027,133.064911,141.054672,143.08577,153.055405,153.069992,155.085602,157.06485,159.080627,170.072601,171.080826,181.06517,185.096451,187.112137,189.091278,195.08078,199.075729,203.107651,213.091461,231.102112,249.112518	0.021259999999999998,0.01931,0.0128,0.02367,0.021339999999999998,0.58233,0.01524,0.29129,0.00981,0.023,0.11222,0.7221299999999999,0.33391,0.0088,0.29159,0.01056,0.14846,0.041139999999999996,0.047,0.01321,0.051050000000000005,0.0148,0.13381,0.14929,0.03354,0.0203,0.010960000000000001,0.08465,0.17300000000000001,0.60101,0.07725,0.01312,0.01935,0.25871,0.015960000000000002,0.41981999999999997,0.58658,1.0	train	249.11213
MassSpecGymID0402874	99.167496,113.097778,115.335938,119.141808,125.008331,125.690094,127.059288,137.149979,139.13652,143.372513,151.228439,154.137817,156.981537,166.137329,169.378571,175.024902,177.227325,179.180481,181.286774,182.351532,184.089722,184.853149,185.766586,187.042862,198.151428,203.174133,207.174896,209.955505,213.138031,215.817627,220.364807,221.241333,229.167969,233.405731,235.26358,239.173523,240.216827,251.301239,258.209656,261.220337,265.118286,269.204498,277.451508,278.189362,279.181549,284.200012,285.063232,291.247223,311.40567,325.27002,338.01062,339.500641,343.517487,346.267487,347.370392,349.523407,351.421936,352.206512,353.321503,361.403595,363.366425,364.51062,373.443726,375.475311,377.319214,378.195557,390.534393,391.231873,392.414368,394.026733,403.383942,405.48111,406.357147,407.443359,409.015411,415.43338,418.451355,422.309357,424.538208,435.235107,444.615417,445.252197,447.030334,448.500732,457.682129,458.316986,459.981293,461.491272,462.374512,463.476715,464.367188,467.504242,468.551819,478.328247,485.474335,486.641571,487.523041,500.688293,504.420837,505.381012,506.174591,514.003662,521.506653,522.440979,523.474487	9.462818320386248e-05,7.899279859148006e-05,0.0003050032762566317,0.00018367076078717507,0.015690892534377835,5.358692589891229e-05,0.00017454789005894885,5.71449482207976e-05,0.00017750390707797626,4.2582939509450794e-05,0.00021987987213892065,7.76524246408472e-05,8.10247902520191e-05,0.0026231467180702975,0.00032253619972258174,0.00014557328116400082,5.318707781269796e-05,7.336554473051612e-05,0.0001522767551743194,5.8821569415855814e-05,1.0,0.004634683246468594,0.00016585307349893373,0.000202695100724657,0.00015454447896814596,7.247220840995387e-05,8.854043914681099e-05,0.00019470908630845877,0.0001472822759413372,0.00021204059595774405,0.00020723331673383133,0.00012343135960329204,0.00015283066398534683,6.703602767194912e-05,0.00011886411679854427,0.00039721724870083884,0.0003194187667793506,0.00023347639310135972,0.004438533822701149,0.0001349101600196332,0.0003289251337678568,0.00016917932749621866,0.00015547252760731976,0.0006180385313501528,0.0002864030088370743,8.046603149952975e-05,0.0003052013997849901,0.00019685223708103253,0.00026754694789240066,0.00025288621417706504,8.527750349932309e-05,0.0010036547646781306,0.00010362194468416511,4.634831392703176e-05,0.00018432586417692102,7.676041008544733e-05,0.00011754948678917837,7.856447828607648e-05,0.00024297082703340572,0.00010832114544555539,0.0002658671062886341,0.00012261827777084453,0.00014407199531434994,0.0003624071045992577,0.00010957681194220029,0.00015545712287295843,0.00011374670745826251,0.0003053988661477673,0.0018849418279294813,7.49303987123569e-05,0.00010191426572479129,0.0002683371285451003,0.0004994773961337811,0.0002454087477919859,0.00033805946177655686,0.00018398210264550965,0.00011726552732566412,0.0002546892222893244,0.00012848610775935808,0.000175238736119677,6.640952585298875e-05,0.00013515278347072448,0.00011908871577374882,0.00015694434210820988,0.000435306515241047,0.0001758623609807193,0.00014830483599341982,0.0006607224126823293,0.0019174590425175538,0.000244955328816497,0.000749872695541375,0.00020758228355189447,0.0006952963191386374,9.171845324111705e-05,0.000956944163692215,0.0009489687665145143,0.00013184179742220482,0.00035993985076431277,0.9179913667101959,0.006776160500798829,0.0005182874480537649,0.00031151469585601906,0.008621235689480714,0.010100467341741992,0.0006589597414529214	train	522.356
MassSpecGymID0271110	370.200989,376.247986	0.005,1.0	train	376.25
MassSpecGymID0193647	55.05407,65.038383,82.065025,83.048874,93.033226,120.044319,136.039078,163.050049,186.09111,189.06575,190.060852,202.06105,204.076889,214.059158,215.069138,216.077301,227.081619,229.09816,230.056335,241.097382,242.092972,243.063705,244.071686,246.123672,257.115662,258.123596,270.08728,272.103088,286.119293,328.165863	0.49546,0.13574,0.05327,1.0,0.39665999999999996,0.17345,0.06138,0.15583,0.059219999999999995,0.06103,0.06747,0.13716,0.38297,0.0593,0.2647,0.16192,0.13722,0.05295,0.131,0.0672,0.0687,0.0521,0.25896,0.21273,0.07399,0.14746,0.28416,0.16431,0.19129000000000002,0.07095	train	328.16557
MassSpecGymID0102883	149.06047,165.05499,188.07117,189.07855,190.07646,190.08456,206.08269,247.0771,275.07117,336.12683,354.13382,354.18814	0.07707707707707707,0.026026026026026026,0.1831831831831832,0.1981981981981982,0.016016016016016016,0.031031031031031032,0.037037037037037035,0.031031031031031032,0.03803803803803804,0.01901901901901902,1.0,0.024024024024024024	train	354.1335992
MassSpecGymID0178586	81.06992,83.0855,95.08551,97.1011,109.10131,111.11712,112.08708,114.09138,123.11675,125.13229,128.10687,135.08089,135.11749,142.12277,149.13243,155.07083,156.13806,170.1553,184.17017,198.18649,212.20129,226.2162,240.23245,254.24812,268.26379,282.27905,284.29559,285.29837,303.30511,304.30801,310.31061,321.31531,322.31885,338.34335,339.34528,340.35336	0.0152705,0.0219207,0.01951928,0.03162571,0.01688374,0.024425699999999998,0.018577859999999998,0.01572098,0.01473842,0.01334084,0.01500233,0.01808268,0.020207419999999997,0.01425956,0.01609202,0.02671574,0.01397649,0.0134657,0.0140219,0.01307552,0.01629066,0.0183778,0.01609627,0.01607357,0.01395166,0.015794060000000002,0.08143697,0.01555072,0.07813457,0.01781239,0.03321625,0.21010853999999998,0.046459200000000006,1.0,0.27097698000000003,0.04983396	train	338.341735839844
MassSpecGymID0106437	271.09674,272.10101,273.10202,312.08658,312.09958,313.10757,313.15869,314.11063,315.11163,354.1015,355.11734	0.3863863863863864,0.07607607607607608,0.009009009009009009,0.012012012012012012,0.04504504504504504,1.0,0.016016016016016016,0.19119119119119118,0.031031031031031032,0.005005005005005005,0.1941941941941942	train	355.1176148
